name,sex,social_security,postal_code,age,occupation,quixote
Huong Mckeever,F,335902332,28033,29,chief operating officer,0
Trent Wu,M,984625252,11408,62,preschool teacher,0
Robert Ryan,M,438527341,11405,62,statistician,0
Keith Mcconville,M,769787688,15403,54,pharmacist,0
Virginia Quillen,F,229346408,32001,44,dentist,1
Daniel Rocha,M,750479184,15579,61,agricultural workers,0
Molly Manylath,F,638974866,15007,28,university president,0
Domingo Medina,M,788688222,28029,45,elementary school teacher,0
James Crosno,M,769057759,15008,51,database architect,0
Mark Holmes,M,651120212,15391,52,neurologist,1
Crystal Smith,F,507107378,11405,28,financial director,0
Sean Foley,M,370325137,49006,50,agricultural workers,0
Jesse Bosarge,M,731113804,28017,58,software developer,1
Emma Hawks,F,600874772,02130,53,data scientist,1
Gail Milton,F,788391670,07007,29,operational risk manager,0
Juan Thompson,M,586454605,07011,27,database architect,0
Isabel Quinn,F,454350216,07015,19,reforestation worker,0
Matthew Whittle,M,536155641,48003,55,network security analyst,0
James August,M,091989627,02005,23,secondary school teacher,0
Theodore Caldwell,M,603548273,32812,32,software developer,0
Leonard Bogard,M,627828257,14008,39,pharmacist,0
Mary Blanton,F,556332222,32357,52,dentist,0
Estela Hernandez,F,981515685,02004,54,dentist,0
Joe Stiles,M,438783490,28054,40,secondary school teacher,0
Jesse Dail,M,426906085,28036,64,data scientist,1
Andrew Rutherford,M,592769668,02002,21,elementary school teacher,1
Joan Brown,F,551266385,15401,18,data scientist,0
Karen Marks,F,056242346,28033,58,information security analyst,0
Alice Ellis,F,739538436,28100,23,financial director,0
Nelson Vaughn,M,407581769,07006,19,chief financial officer,0
Melody Starnes,F,210721476,28019,41,middle school teacher,1
Mary Mcbride,F,197767458,07005,37,database architect,1
Susana Cook,F,929511269,07141,56,software developer,0
Sarah Boone,F,603235708,11204,50,database architect,1
Richard Willis,M,092256570,28041,33,agricultural workers,0
James Clements,M,206734881,28119,52,database architect,1
Roberto Mcalary,M,487849186,28805,61,network security analyst,0
Bobby Smith,M,411943062,48015,52,pediatrician,0
Corey Perry,M,668702621,14012,52,nurse,0
Michelle Simmons,F,054107467,11402,54,regional sales manager,0
Patrick Fernandez,M,647961795,28035,30,financial director,1
Chas Thomas,M,914637535,28919,28,postsecondary teacher,0
Claude Jaime,M,653696665,28946,18,financial director,0
Luis Wiley,M,704678201,32751,37,information security analyst,1
Michael Cox,M,625554220,32002,26,financial director,0
Betty Mcmilliam,F,628388505,28029,20,sheep shearer,1
Wayne White,M,304631181,14600,37,pharmacist,0
Robert Haywood,M,345776855,11401,24,financial director,0
Julio Hannan,M,132660878,28045,35,university president,0
Beverly Wendolski,F,988456933,15570,56,neurologist,1
Anna Cabrera,F,867104439,28232,30,pharmacist,0
Sheila Grandfield,F,880094465,07460,30,university president,0
Gale Moore,F,056297067,32811,58,dentist,0
Pauline Parson,F,107227412,28921,38,sheep shearer,0
Ashley Garner,F,476195538,49027,38,data scientist,0
Jason Patterson,M,838764335,14002,27,network security analyst,1
Ginger Austin,F,931153601,32102,46,nurse,0
Randi Simon,F,341182070,28027,49,elementary school teacher,1
Mary Spalding,F,970695486,14310,20,preschool teacher,0
Beverly Chauvin,F,307662294,28921,48,postsecondary teacher,1
Ernestine Perng,F,514683098,07610,35,web developer,0
Fernando Muncy,M,895874151,28224,54,chief financial officer,1
Carmen Guyton,F,221307734,11405,44,sheep shearer,1
John Bradshaw,M,848699884,28052,30,middle school teacher,0
Tiffany Adams,F,935899388,28013,37,regional sales manager,0
James Gary,M,668533636,48500,21,network security analyst,0
Douglas Klein,M,741154538,28039,28,web developer,0
Bryant Scott,M,852298128,49327,27,elementary school teacher,0
Paul Sparr,M,157389374,11610,38,information security analyst,0
Douglas Darden,M,141238470,28936,59,information security analyst,0
Sandra Murray,F,443513647,28223,44,web developer,0
Donald Steele,M,676780591,28224,36,surgeon,1
Hattie Huff,F,133049839,49783,35,database architect,0
Mary Selman,F,783045280,07010,28,database architect,0
Rodney Stephenson,M,258122996,28806,58,dentist,0
Florene Mcdonald,F,083371420,49031,49,pharmacist,1
Julie Winston,F,413727069,28191,60,neurologist,1
Joseph Heslop,M,669287411,15145,37,neurologist,0
John Borysewicz,M,327684405,11402,57,web developer,0
Mary Jefferson,F,821628468,28006,51,regional sales manager,0
Donna Alderman,F,993523032,07001,64,elementary school teacher,1
Derrick Lloyd,M,119221568,48004,57,middle school teacher,0
Rose Williams,F,078148552,14007,63,optometrist,1
Bess Sweet,F,014419801,28004,57,information security analyst,0
Esther Doherty,F,515057844,15001,48,surgeon,0
Donna Warhurst,F,130355600,28922,32,software developer,0
Bradley Atchison,M,287958413,32643,58,operational risk manager,1
Jane Edney,F,754632104,28223,53,agricultural workers,1
Thomas Leyva,M,677254207,28942,49,data scientist,1
Michael Keating,M,710567070,14001,54,neurologist,0
Hattie Lovell,F,431385662,14005,64,postsecondary teacher,0
Danielle Powell,F,856557012,32636,24,nurse,1
Elizabeth Oconnell,F,696026031,28011,20,university president,1
Mary Copeland,F,643379384,28029,19,surgeon,0
Yvette Romero,F,102220340,32616,47,regional sales manager,1
Rocio Rudge,F,283494359,28043,37,network security analyst,0
Harold Lawrence,M,569614498,49009,61,secondary school teacher,0
James Bilger,M,830610777,07003,50,optometrist,1
Mercedes Tassone,F,453534131,15401,40,reforestation worker,0
Richard Flores,M,857996694,28035,43,sheep shearer,0
